t_ms,red,ir,stm_glucose,stm_status,stm_sqi
7770,78553,109211,,,
7780,78517,109126,,,
7790,78517,109109,,,
7800,78480,109091,,,
7810,78455,109060,,,
7820,78439,109089,,,
7830,78483,109125,,,
7840,78516,109108,,,
7850,78514,109154,,,
7860,78577,109198,,,
7870,78604,109252,,,
7880,78667,109333,,,
7890,78730,109408,,,
7900,78785,109463,,,
7910,78851,109568,,,
7920,78925,109669,,,
7930,78983,109729,,,
7940,79079,109846,,,
7950,79150,109952,,,
7960,79226,110046,,,
7970,79278,110097,,,
7980,79359,110196,,,
7990,79407,110286,,,
8000,79243,110048,,,
8010,79209,110038,,,
8020,79196,109990,,,
8030,79176,109984,,,
8040,79155,109946,,,
8050,79141,109946,,,
8060,79118,109908,,,
8070,79110,109904,,,
8080,79123,109907,,,
8090,79129,109908,,,
8100,79122,109906,,,
8110,79131,109913,,,
8120,79127,109903,,,
8130,79123,109916,,,
8140,79136,109927,,,
8150,79149,109956,,,
8160,79137,109938,,,
8170,79142,109915,,,
8180,79132,109924,,,
8190,79119,109905,,,
8200,79094,109906,,,
8210,79103,109860,,,
8220,79107,109847,,,
8230,79039,109814,,,
8240,79036,109793,,,
8250,79006,109744,,,
8260,78976,109707,,,
8270,78927,109676,,,
8280,78912,109654,,,
8290,78892,109614,,,
8300,78880,109594,,,
8310,78859,109573,,,
8320,78823,109527,,,
8330,78820,109542,,,
8340,78823,109546,,,
8350,78844,109573,,,
8360,78897,109639,,,
8370,78977,109710,,,
8380,79027,109801,,,
8390,79146,109935,,,
8400,79214,110045,,,
8410,79352,110230,,,
8420,79487,110377,,,
8430,79622,110558,,,
8440,79766,110726,,,
8450,79915,110934,,,
8460,80027,111063,,,
8470,80143,111171,,,
8480,80207,111260,,,
8490,80250,111346,,,
8500,80288,111361,,,
8510,80264,111341,,,
8520,80244,111324,,,
8530,80225,111279,,,
8540,80154,111161,,,
8550,80071,111096,,,
8560,80008,110994,,,
8570,79943,110915,,,
8580,79866,110827,,,
8590,79812,110741,,,
8600,79738,110689,,,
8610,79687,110605,,,
